<BALANCE>,Data
14992.0,2016-10-04
15096.0,2016-10-05
14978.0,2016-10-06
14872.0,2016-10-07
14840.0,2016-10-10
14840.0,2016-10-11
14979.0,2016-10-13
15007.0,2016-10-14
15155.0,2016-10-17
15141.0,2016-10-18
15137.0,2016-10-19
14973.0,2016-10-20
14902.0,2016-10-21
15141.0,2016-10-24
15103.0,2016-10-25
14944.0,2016-10-26
14872.0,2016-10-27
14973.0,2016-10-28
14628.0,2016-10-31
14967.0,2016-11-01
14967.0,2016-11-03
15358.0,2016-11-04
15190.0,2016-11-07
15391.0,2016-11-08
15629.0,2016-11-09
15629.0,2016-11-10
15786.0,2016-11-11
16145.0,2016-11-14
16155.0,2016-11-16
16494.0,2016-11-17
16454.0,2016-11-18
16273.0,2016-11-21
16536.0,2016-11-22
16536.0,2016-11-23
16764.0,2016-11-24
16740.0,2016-11-25
16896.0,2016-11-28
16896.0,2016-11-29
16661.0,2016-11-30
16661.0,2016-12-01
16130.0,2016-12-02
16359.0,2016-12-05
16524.0,2016-12-06
16221.0,2016-12-07
16560.0,2016-12-08
16600.0,2016-12-09
16600.0,2016-12-12
16789.0,2016-12-13
16706.0,2016-12-14
16780.0,2016-12-15
16870.0,2016-12-16
16870.0,2016-12-19
16910.0,2016-12-20
16578.0,2016-12-21
16578.0,2016-12-22
16502.0,2016-12-23
16450.0,2016-12-26
16644.0,2016-12-27
16590.0,2016-12-28
16436.0,2016-12-29
16552.0,2017-01-02
16542.0,2017-01-03
16542.0,2017-01-04
16332.0,2017-01-05
16332.0,2017-01-06
16456.0,2017-01-09
16560.0,2017-01-10
16628.0,2017-01-11
16353.0,2017-01-12
16353.0,2017-01-13
16319.0,2017-01-16
16592.0,2017-01-17
16592.0,2017-01-18
16740.0,2017-01-19
16455.0,2017-01-20
16559.0,2017-01-23
16569.0,2017-01-24
16571.0,2017-01-26
16571.0,2017-01-27
16571.0,2017-01-30
16033.0,2017-01-31
16189.0,2017-02-01
16259.0,2017-02-02
16566.0,2017-02-03
16905.0,2017-02-06
16882.0,2017-02-07
16679.0,2017-02-08
16647.0,2017-02-09
16647.0,2017-02-10
16524.0,2017-02-13
16522.0,2017-02-14
16190.0,2017-02-15
16442.0,2017-02-16
16174.0,2017-02-17
16110.0,2017-02-20
16148.0,2017-02-21
16148.0,2017-02-22
16487.0,2017-02-23
16487.0,2017-02-24
16291.0,2017-03-01
16291.0,2017-03-02
15951.0,2017-03-03
15951.0,2017-03-06
15951.0,2017-03-07
15951.0,2017-03-08
15951.0,2017-03-09
16169.0,2017-03-10
15908.0,2017-03-13
16204.0,2017-03-14
16543.0,2017-03-15
16802.0,2017-03-16
17009.0,2017-03-17
17195.0,2017-03-20
17195.0,2017-03-21
17185.0,2017-03-22
16901.0,2017-03-23
16504.0,2017-03-24
16584.0,2017-03-27
16205.0,2017-03-28
16287.0,2017-03-29
16405.0,2017-03-30
16653.0,2017-03-31
16488.0,2017-04-03
16256.0,2017-04-04
16595.0,2017-04-05
16844.0,2017-04-06
17281.0,2017-04-07
17413.0,2017-04-10
17509.0,2017-04-11
17445.0,2017-04-12
17445.0,2017-04-13
17784.0,2017-04-17
17880.0,2017-04-18
18219.0,2017-04-19
18023.0,2017-04-20
17834.0,2017-04-24
17752.0,2017-04-25
17920.0,2017-04-26
18134.0,2017-04-27
18077.0,2017-04-28
18083.0,2017-05-02
17933.0,2017-05-03
17933.0,2017-05-04
17981.0,2017-05-05
18083.0,2017-05-08
17917.0,2017-05-09
17901.0,2017-05-10
17383.0,2017-05-11
17441.0,2017-05-12
17241.0,2017-05-15
17186.0,2017-05-16
17186.0,2017-05-17
17326.0,2017-05-18
17262.0,2017-05-19
17262.0,2017-05-22
17355.0,2017-05-23
17400.0,2017-05-24
17561.0,2017-05-25
