<BALANCE>,Data
7679.0,2016-07-13
7788.0,2016-07-14
7946.0,2016-07-15
7702.0,2016-07-18
7845.0,2016-07-19
8340.0,2016-07-20
8487.0,2016-07-21
8671.0,2016-07-22
8919.0,2016-07-25
9044.0,2016-07-26
9074.0,2016-07-27
8741.0,2016-07-28
8647.0,2016-07-29
8705.0,2016-08-01
9059.0,2016-08-02
8990.0,2016-08-03
9238.0,2016-08-04
9203.0,2016-08-05
9392.0,2016-08-08
9467.0,2016-08-09
9568.0,2016-08-10
9183.0,2016-08-11
9327.0,2016-08-12
8942.0,2016-08-15
9056.0,2016-08-16
9106.0,2016-08-17
9131.0,2016-08-18
9205.0,2016-08-19
8719.0,2016-08-22
8809.0,2016-08-23
8644.0,2016-08-24
8707.0,2016-08-25
8756.0,2016-08-26
8507.0,2016-08-29
8642.0,2016-08-30
8669.0,2016-08-31
8658.0,2016-09-01
8266.0,2016-09-02
8262.0,2016-09-05
8240.0,2016-09-06
8259.0,2016-09-08
7918.0,2016-09-09
7982.0,2016-09-12
7999.0,2016-09-13
8155.0,2016-09-14
7677.0,2016-09-15
7788.0,2016-09-16
7613.0,2016-09-19
7700.0,2016-09-20
7577.0,2016-09-21
7415.0,2016-09-22
7424.0,2016-09-23
7418.0,2016-09-26
7368.0,2016-09-27
7477.0,2016-09-28
7294.0,2016-09-29
7330.0,2016-09-30
7328.0,2016-10-03
7514.0,2016-10-04
7330.0,2016-10-05
7377.0,2016-10-06
7557.0,2016-10-07
7504.0,2016-10-10
7451.0,2016-10-11
7396.0,2016-10-13
7372.0,2016-10-14
7289.0,2016-10-17
7347.0,2016-10-18
7479.0,2016-10-19
7614.0,2016-10-20
7637.0,2016-10-21
7582.0,2016-10-24
7749.0,2016-10-25
7785.0,2016-10-26
7872.0,2016-10-27
7601.0,2016-10-28
7549.0,2016-10-31
6971.0,2016-11-01
6785.0,2016-11-03
6743.0,2016-11-04
6299.0,2016-11-07
6486.0,2016-11-08
6724.0,2016-11-09
6878.0,2016-11-10
7267.0,2016-11-11
7541.0,2016-11-14
8000.0,2016-11-16
8313.0,2016-11-17
8593.0,2016-11-18
8483.0,2016-11-21
8254.0,2016-11-22
8548.0,2016-11-23
8730.0,2016-11-24
8849.0,2016-11-25
9029.0,2016-11-28
8863.0,2016-11-29
9325.0,2016-11-30
9575.0,2016-12-01
9478.0,2016-12-02
9380.0,2016-12-05
9386.0,2016-12-06
9545.0,2016-12-07
9386.0,2016-12-08
9716.0,2016-12-09
9555.0,2016-12-12
9722.0,2016-12-13
9913.0,2016-12-14
9732.0,2016-12-15
9896.0,2016-12-16
9751.0,2016-12-19
9517.0,2016-12-20
9670.0,2016-12-21
9681.0,2016-12-22
9500.0,2016-12-23
9353.0,2016-12-26
9212.0,2016-12-27
9011.0,2016-12-28
9240.0,2016-12-29
9428.0,2017-01-02
9096.0,2017-01-03
9133.0,2017-01-04
9362.0,2017-01-05
9344.0,2017-01-06
9404.0,2017-01-09
9362.0,2017-01-10
9271.0,2017-01-11
9437.0,2017-01-12
9549.0,2017-01-13
9433.0,2017-01-16
9503.0,2017-01-17
9698.0,2017-01-18
9869.0,2017-01-19
9923.0,2017-01-20
9850.0,2017-01-23
10301.0,2017-01-24
10611.0,2017-01-26
10720.0,2017-01-27
10474.0,2017-01-30
10444.0,2017-01-31
10163.0,2017-02-01
10307.0,2017-02-02
10064.0,2017-02-03
10099.0,2017-02-06
10012.0,2017-02-07
10053.0,2017-02-08
10332.0,2017-02-09
10029.0,2017-02-10
10175.0,2017-02-13
10248.0,2017-02-14
10226.0,2017-02-15
10279.0,2017-02-16
10210.0,2017-02-17
10165.0,2017-02-20
10203.0,2017-02-21
10174.0,2017-02-22
10081.0,2017-02-23
10203.0,2017-02-24
10250.0,2017-03-01
10020.0,2017-03-02
10275.0,2017-03-03
10279.0,2017-03-06
10367.0,2017-03-07
10156.0,2017-03-08
10283.0,2017-03-09
10515.0,2017-03-10
10631.0,2017-03-13
10811.0,2017-03-14
10812.0,2017-03-15
10979.0,2017-03-16
10874.0,2017-03-17
10738.0,2017-03-20
10534.0,2017-03-21
10476.0,2017-03-22
10801.0,2017-03-23
11070.0,2017-03-24
11125.0,2017-03-27
11376.0,2017-03-28
11280.0,2017-03-29
11278.0,2017-03-30
11321.0,2017-03-31
11552.0,2017-04-03
11643.0,2017-04-04
11462.0,2017-04-05
11510.0,2017-04-06
11230.0,2017-04-07
11563.0,2017-04-10
12023.0,2017-04-11
12184.0,2017-04-12
12285.0,2017-04-13
12001.0,2017-04-17
12047.0,2017-04-18
11908.0,2017-04-19
12179.0,2017-04-20
12202.0,2017-04-24
12253.0,2017-04-25
12371.0,2017-04-26
12460.0,2017-04-27
12383.0,2017-04-28
12096.0,2017-05-02
12014.0,2017-05-03
11577.0,2017-05-04
11484.0,2017-05-05
11651.0,2017-05-08
11572.0,2017-05-09
11581.0,2017-05-10
11637.0,2017-05-11
11775.0,2017-05-12
11855.0,2017-05-15
11629.0,2017-05-16
11244.0,2017-05-17
11159.0,2017-05-18
