<BALANCE>,Data
14332.0,2017-12-01
14292.0,2017-12-04
14243.0,2017-12-05
14236.0,2017-12-06
14365.0,2017-12-07
14400.0,2017-12-08
14444.0,2017-12-11
14614.0,2017-12-12
14626.0,2017-12-13
14788.0,2017-12-14
14580.0,2017-12-15
14665.0,2017-12-18
14720.0,2017-12-19
14770.0,2017-12-20
14763.0,2017-12-21
14810.0,2017-12-22
14777.0,2017-12-26
14844.0,2017-12-27
14903.0,2017-12-28
14993.0,2018-01-02
14974.0,2018-01-03
15081.0,2018-01-04
15103.0,2018-01-05
15197.0,2018-01-08
15235.0,2018-01-09
15207.0,2018-01-10
15220.0,2018-01-11
15268.0,2018-01-12
15323.0,2018-01-15
15301.0,2018-01-16
15341.0,2018-01-17
15376.0,2018-01-18
15388.0,2018-01-19
15379.0,2018-01-22
15386.0,2018-01-23
15447.0,2018-01-24
15500.0,2018-01-26
15721.0,2018-01-29
15710.0,2018-01-30
15765.0,2018-01-31
15544.0,2018-02-01
15629.0,2018-02-02
15550.0,2018-02-05
15490.0,2018-02-06
15429.0,2018-02-07
15407.0,2018-02-08
15559.0,2018-02-09
15677.0,2018-02-14
15754.0,2018-02-15
15790.0,2018-02-16
15866.0,2018-02-19
15895.0,2018-02-20
15967.0,2018-02-21
16043.0,2018-02-22
15973.0,2018-02-23
15961.0,2018-02-26
15937.0,2018-02-27
15872.0,2018-02-28
15771.0,2018-03-01
15923.0,2018-03-02
16077.0,2018-03-05
16289.0,2018-03-06
16262.0,2018-03-07
16175.0,2018-03-08
16142.0,2018-03-09
16230.0,2018-03-12
16239.0,2018-03-13
16353.0,2018-03-14
16308.0,2018-03-15
16388.0,2018-03-16
16437.0,2018-03-19
16419.0,2018-03-20
16461.0,2018-03-21
16422.0,2018-03-22
16442.0,2018-03-23
16559.0,2018-03-26
16650.0,2018-03-27
16504.0,2018-03-28
16600.0,2018-03-29
16608.0,2018-04-02
16490.0,2018-04-03
16580.0,2018-04-04
16585.0,2018-04-05
16574.0,2018-04-06
16687.0,2018-04-09
16546.0,2018-04-10
16592.0,2018-04-11
16482.0,2018-04-12
16522.0,2018-04-13
16349.0,2018-04-16
16420.0,2018-04-17
16507.0,2018-04-18
16673.0,2018-04-19
16768.0,2018-04-20
16730.0,2018-04-23
16803.0,2018-04-24
16779.0,2018-04-25
16798.0,2018-04-26
16786.0,2018-04-27
16977.0,2018-04-30
17183.0,2018-05-02
17083.0,2018-05-03
17192.0,2018-05-04
17195.0,2018-05-07
16796.0,2018-05-08
16835.0,2018-05-09
16893.0,2018-05-10
16897.0,2018-05-11
16819.0,2018-05-14
16861.0,2018-05-15
16764.0,2018-05-16
16933.0,2018-05-17
16855.0,2018-05-18
16869.0,2018-05-21
16652.0,2018-05-22
16682.0,2018-05-23
16653.0,2018-05-24
16803.0,2018-05-25
16794.0,2018-05-28
16599.0,2018-05-29
16641.0,2018-05-30
16422.0,2018-06-01
16446.0,2018-06-04
16705.0,2018-06-05
16575.0,2018-06-06
16411.0,2018-06-07
16301.0,2018-06-08
16536.0,2018-06-11
16578.0,2018-06-12
16326.0,2018-06-13
16479.0,2018-06-14
16747.0,2018-06-15
16862.0,2018-06-18
17017.0,2018-06-19
16851.0,2018-06-20
17174.0,2018-06-21
17175.0,2018-06-22
17297.0,2018-06-25
17481.0,2018-06-26
17603.0,2018-06-27
17787.0,2018-06-28
17871.0,2018-06-29
17906.0,2018-07-02
17920.0,2018-07-03
17829.0,2018-07-04
17943.0,2018-07-05
18014.0,2018-07-06
18151.0,2018-07-10
18113.0,2018-07-11
18213.0,2018-07-12
18169.0,2018-07-13
17972.0,2018-07-16
18024.0,2018-07-17
18015.0,2018-07-18
18003.0,2018-07-19
18089.0,2018-07-20
18105.0,2018-07-23
18091.0,2018-07-24
18098.0,2018-07-25
18233.0,2018-07-26
18245.0,2018-07-27
18299.0,2018-07-30
18340.0,2018-07-31
18323.0,2018-08-01
18467.0,2018-08-02
18515.0,2018-08-03
18543.0,2018-08-06
18549.0,2018-08-07
18677.0,2018-08-08
18741.0,2018-08-09
18856.0,2018-08-10
18622.0,2018-08-13
18733.0,2018-08-14
18751.0,2018-08-15
18560.0,2018-08-16
18665.0,2018-08-17
18617.0,2018-08-20
18595.0,2018-08-21
18592.0,2018-08-22
18548.0,2018-08-23
18457.0,2018-08-24
18484.0,2018-08-27
18483.0,2018-08-28
18585.0,2018-08-29
18790.0,2018-08-30
18549.0,2018-08-31
18603.0,2018-09-03
18837.0,2018-09-04
18866.0,2018-09-05
18770.0,2018-09-06
18833.0,2018-09-10
18911.0,2018-09-11
18832.0,2018-09-12
18808.0,2018-09-13
18841.0,2018-09-14
18904.0,2018-09-17
18882.0,2018-09-18
18968.0,2018-09-19
18889.0,2018-09-20
18919.0,2018-09-21
18969.0,2018-09-24
19011.0,2018-09-25
18879.0,2018-09-26
19002.0,2018-09-27
19071.0,2018-09-28
19031.0,2018-10-01
19117.0,2018-10-02
19152.0,2018-10-03
19218.0,2018-10-04
19249.0,2018-10-05
19187.0,2018-10-08
19111.0,2018-10-09
19342.0,2018-10-10
19292.0,2018-10-11
19353.0,2018-10-15
19445.0,2018-10-16
19433.0,2018-10-17
19576.0,2018-10-18
19486.0,2018-10-19
19639.0,2018-10-22
19808.0,2018-10-23
19953.0,2018-10-24
20087.0,2018-10-25
19788.0,2018-10-26
19448.0,2018-10-29
19466.0,2018-10-30
19510.0,2018-10-31
19411.0,2018-11-01
19541.0,2018-11-05
19712.0,2018-11-06
19845.0,2018-11-07
19833.0,2018-11-08
19759.0,2018-11-09
19938.0,2018-11-12
19989.0,2018-11-13
20027.0,2018-11-14
19978.0,2018-11-16
20112.0,2018-11-19
20064.0,2018-11-21
20010.0,2018-11-22
20314.0,2018-11-23
20227.0,2018-11-26
20286.0,2018-11-27
20220.0,2018-11-28
20223.0,2018-11-29
20356.0,2018-11-30
20410.0,2018-12-03
20404.0,2018-12-04
20289.0,2018-12-05
20200.0,2018-12-06
20189.0,2018-12-07
20169.0,2018-12-10
20161.0,2018-12-11
20390.0,2018-12-12
20448.0,2018-12-13
20550.0,2018-12-14
20467.0,2018-12-17
20508.0,2018-12-18
20528.0,2018-12-19
20598.0,2018-12-20
20676.0,2018-12-21
20719.0,2018-12-26
20689.0,2018-12-27
20789.0,2018-12-28
20883.0,2019-01-02
20820.0,2019-01-03
20804.0,2019-01-04
20814.0,2019-01-07
20782.0,2019-01-08
20886.0,2019-01-09
20898.0,2019-01-10
20950.0,2019-01-11
20993.0,2019-01-14
20983.0,2019-01-15
20927.0,2019-01-16
21027.0,2019-01-17
21061.0,2019-01-18
21033.0,2019-01-21
20810.0,2019-01-22
20863.0,2019-01-23
20827.0,2019-01-24
20956.0,2019-01-28
21115.0,2019-01-29
21220.0,2019-01-30
21142.0,2019-01-31
21239.0,2019-02-01
21267.0,2019-02-04
21367.0,2019-02-05
21485.0,2019-02-06
21241.0,2019-02-07
21225.0,2019-02-08
21171.0,2019-02-11
21256.0,2019-02-12
21277.0,2019-02-13
21072.0,2019-02-14
20964.0,2019-02-15
21177.0,2019-02-18
21276.0,2019-02-19
21145.0,2019-02-20
21228.0,2019-02-21
21261.0,2019-02-22
21320.0,2019-02-25
21341.0,2019-02-26
21394.0,2019-02-27
21455.0,2019-02-28
21377.0,2019-03-01
21423.0,2019-03-06
21376.0,2019-03-07
21352.0,2019-03-08
21508.0,2019-03-11
21257.0,2019-03-12
21203.0,2019-03-13
21236.0,2019-03-14
21185.0,2019-03-15
21263.0,2019-03-18
21304.0,2019-03-19
21211.0,2019-03-20
21378.0,2019-03-21
21334.0,2019-03-22
21085.0,2019-03-25
21005.0,2019-03-26
20887.0,2019-03-27
21221.0,2019-03-28
21062.0,2019-03-29
21087.0,2019-04-01
20951.0,2019-04-02
20794.0,2019-04-03
20591.0,2019-04-04
20724.0,2019-04-05
20681.0,2019-04-08
20776.0,2019-04-09
20787.0,2019-04-10
20935.0,2019-04-11
20969.0,2019-04-12
21017.0,2019-04-15
21266.0,2019-04-16
21267.0,2019-04-17
21111.0,2019-04-18
21212.0,2019-04-22
21250.0,2019-04-23
21188.0,2019-04-24
21292.0,2019-04-25
21438.0,2019-04-26
21425.0,2019-04-29
21400.0,2019-04-30
21420.0,2019-05-02
21510.0,2019-05-03
21598.0,2019-05-06
21487.0,2019-05-07
21681.0,2019-05-08
21803.0,2019-05-09
21760.0,2019-05-10
21903.0,2019-05-13
21853.0,2019-05-14
21942.0,2019-05-15
22117.0,2019-05-16
22152.0,2019-05-17
22053.0,2019-05-20
21929.0,2019-05-21
21743.0,2019-05-22
21841.0,2019-05-23
21998.0,2019-05-24
22135.0,2019-05-27
21909.0,2019-05-28
21943.0,2019-05-29
21982.0,2019-05-30
22229.0,2019-05-31
22196.0,2019-06-03
22180.0,2019-06-04
22233.0,2019-06-05
22297.0,2019-06-06
22366.0,2019-06-07
22358.0,2019-06-10
22434.0,2019-06-11
22521.0,2019-06-12
22575.0,2019-06-13
22580.0,2019-06-14
22518.0,2019-06-17
22598.0,2019-06-18
22602.0,2019-06-19
22687.0,2019-06-21
22583.0,2019-06-24
22568.0,2019-06-25
22575.0,2019-06-26
22533.0,2019-06-27
22641.0,2019-06-28
22671.0,2019-07-01
22384.0,2019-07-02
22401.0,2019-07-03
22460.0,2019-07-04
22413.0,2019-07-05
22436.0,2019-07-08
22525.0,2019-07-10
22545.0,2019-07-11
22689.0,2019-07-12
22584.0,2019-07-15
22542.0,2019-07-16
22490.0,2019-07-17
22569.0,2019-07-18
22580.0,2019-07-19
22655.0,2019-07-22
22721.0,2019-07-23
22812.0,2019-07-24
22770.0,2019-07-25
22798.0,2019-07-26
22665.0,2019-07-29
22703.0,2019-07-30
22672.0,2019-07-31
22807.0,2019-08-01
22706.0,2019-08-02
22898.0,2019-08-05
22935.0,2019-08-06
23121.0,2019-08-07
23308.0,2019-08-08
23295.0,2019-08-09
23385.0,2019-08-12
23307.0,2019-08-13
23430.0,2019-08-14
23444.0,2019-08-15
23228.0,2019-08-16
23422.0,2019-08-19
23395.0,2019-08-20
23474.0,2019-08-21
23450.0,2019-08-22
23338.0,2019-08-23
23527.0,2019-08-26
23548.0,2019-08-27
23637.0,2019-08-28
23707.0,2019-08-29
23784.0,2019-08-30
23759.0,2019-09-02
23598.0,2019-09-03
23748.0,2019-09-04
23885.0,2019-09-05
23949.0,2019-09-06
23987.0,2019-09-09
23887.0,2019-09-10
23895.0,2019-09-11
23823.0,2019-09-12
23858.0,2019-09-13
