<BALANCE>,Data
6787.0,2017-03-09
6755.0,2017-03-10
6751.0,2017-03-13
6748.0,2017-03-14
6775.0,2017-03-15
6845.0,2017-03-16
6860.0,2017-03-17
6863.0,2017-03-20
6872.0,2017-03-21
6966.0,2017-03-22
6958.0,2017-03-23
7012.0,2017-03-24
7028.0,2017-03-27
7067.0,2017-03-28
7096.0,2017-03-29
7101.0,2017-03-30
7118.0,2017-03-31
7120.0,2017-04-03
7127.0,2017-04-04
7135.0,2017-04-05
7160.0,2017-04-06
7176.0,2017-04-07
7211.0,2017-04-10
7220.0,2017-04-11
7286.0,2017-04-12
7315.0,2017-04-13
7333.0,2017-04-17
7339.0,2017-04-18
7358.0,2017-04-19
7353.0,2017-04-20
7396.0,2017-04-24
7349.0,2017-04-25
7338.0,2017-04-26
7363.0,2017-04-27
7411.0,2017-04-28
7195.0,2017-05-02
7225.0,2017-05-03
7015.0,2017-05-04
7030.0,2017-05-05
7056.0,2017-05-08
7092.0,2017-05-09
6989.0,2017-05-10
6995.0,2017-05-11
6978.0,2017-05-12
6996.0,2017-05-15
7003.0,2017-05-16
6981.0,2017-05-17
6720.0,2017-05-18
6665.0,2017-05-19
6404.0,2017-05-22
6442.0,2017-05-23
6450.0,2017-05-24
6533.0,2017-05-25
6557.0,2017-05-26
6534.0,2017-05-29
6544.0,2017-05-30
6379.0,2017-05-31
6388.0,2017-06-01
6394.0,2017-06-02
6403.0,2017-06-05
6436.0,2017-06-06
6452.0,2017-06-07
6466.0,2017-06-08
6489.0,2017-06-09
6541.0,2017-06-12
6560.0,2017-06-13
6540.0,2017-06-14
6539.0,2017-06-16
6566.0,2017-06-19
6512.0,2017-06-20
6532.0,2017-06-21
6567.0,2017-06-22
6592.0,2017-06-23
6575.0,2017-06-26
6580.0,2017-06-27
6589.0,2017-06-28
6629.0,2017-06-29
6649.0,2017-06-30
6671.0,2017-07-03
6676.0,2017-07-04
6686.0,2017-07-05
6727.0,2017-07-06
6717.0,2017-07-07
6738.0,2017-07-10
6742.0,2017-07-11
6743.0,2017-07-12
6742.0,2017-07-13
6753.0,2017-07-14
6792.0,2017-07-17
6809.0,2017-07-18
6813.0,2017-07-19
6791.0,2017-07-20
6811.0,2017-07-21
6814.0,2017-07-24
6815.0,2017-07-25
6815.0,2017-07-26
6828.0,2017-07-27
6853.0,2017-07-28
6882.0,2017-07-31
6887.0,2017-08-01
6888.0,2017-08-02
6908.0,2017-08-03
6912.0,2017-08-04
6907.0,2017-08-07
6910.0,2017-08-08
6950.0,2017-08-09
6978.0,2017-08-10
7014.0,2017-08-11
7055.0,2017-08-14
7080.0,2017-08-15
7147.0,2017-08-16
7148.0,2017-08-17
7162.0,2017-08-18
7180.0,2017-08-21
7085.0,2017-08-22
7101.0,2017-08-23
7093.0,2017-08-24
7119.0,2017-08-25
7128.0,2017-08-28
7145.0,2017-08-29
7164.0,2017-08-30
7176.0,2017-08-31
6963.0,2017-09-01
6965.0,2017-09-04
7009.0,2017-09-05
6802.0,2017-09-06
6831.0,2017-09-08
6672.0,2017-09-11
6674.0,2017-09-12
6704.0,2017-09-13
6728.0,2017-09-14
6744.0,2017-09-15
