<BALANCE>,Data
6785.0,2017-06-09
6785.0,2017-06-12
6785.0,2017-06-13
6844.0,2017-06-14
6844.0,2017-06-16
6842.0,2017-06-19
7021.0,2017-06-20
7021.0,2017-06-21
7024.0,2017-06-22
7024.0,2017-06-23
7124.0,2017-06-26
7097.0,2017-06-27
7036.0,2017-06-28
6914.0,2017-06-29
6974.0,2017-06-30
6974.0,2017-07-03
6974.0,2017-07-04
6913.0,2017-07-05
7030.0,2017-07-06
7033.0,2017-07-07
7111.0,2017-07-10
7212.0,2017-07-11
7277.0,2017-07-12
7277.0,2017-07-13
7277.0,2017-07-14
7277.0,2017-07-17
7260.0,2017-07-18
7162.0,2017-07-19
7166.0,2017-07-20
7149.0,2017-07-21
7088.0,2017-07-24
7118.0,2017-07-25
7184.0,2017-07-26
7123.0,2017-07-27
7062.0,2017-07-28
7050.0,2017-07-31
7106.0,2017-08-01
7175.0,2017-08-02
7175.0,2017-08-03
7175.0,2017-08-04
7294.0,2017-08-07
7233.0,2017-08-08
7233.0,2017-08-09
7241.0,2017-08-10
7180.0,2017-08-11
7359.0,2017-08-14
7359.0,2017-08-15
7267.0,2017-08-16
7267.0,2017-08-17
7301.0,2017-08-18
7301.0,2017-08-21
7390.0,2017-08-22
7390.0,2017-08-23
7435.0,2017-08-24
7435.0,2017-08-25
7410.0,2017-08-28
7430.0,2017-08-29
7402.0,2017-08-30
7341.0,2017-08-31
7446.0,2017-09-01
7446.0,2017-09-04
7385.0,2017-09-05
7462.0,2017-09-06
7462.0,2017-09-08
7610.0,2017-09-11
7549.0,2017-09-12
7549.0,2017-09-13
7549.0,2017-09-14
7616.0,2017-09-15
7616.0,2017-09-18
7555.0,2017-09-19
7433.0,2017-09-20
7394.0,2017-09-21
7333.0,2017-09-22
7489.0,2017-09-25
7489.0,2017-09-26
7668.0,2017-09-27
7668.0,2017-09-28
7591.0,2017-09-29
7591.0,2017-10-02
7770.0,2017-10-03
7709.0,2017-10-04
7648.0,2017-10-05
7587.0,2017-10-06
7587.0,2017-10-09
7526.0,2017-10-10
7526.0,2017-10-11
7465.0,2017-10-13
7404.0,2017-10-16
7472.0,2017-10-17
7472.0,2017-10-18
7454.0,2017-10-19
7454.0,2017-10-20
7393.0,2017-10-23
7393.0,2017-10-24
7332.0,2017-10-25
7332.0,2017-10-26
7332.0,2017-10-27
7511.0,2017-10-30
7450.0,2017-10-31
7480.0,2017-11-01
7659.0,2017-11-03
7659.0,2017-11-06
7659.0,2017-11-07
7659.0,2017-11-08
7598.0,2017-11-09
7623.0,2017-11-10
7623.0,2017-11-13
7741.0,2017-11-14
7680.0,2017-11-16
7656.0,2017-11-17
7656.0,2017-11-21
7656.0,2017-11-22
7595.0,2017-11-23
7595.0,2017-11-24
7534.0,2017-11-27
7534.0,2017-11-28
7713.0,2017-11-29
7713.0,2017-11-30
7713.0,2017-12-01
7892.0,2017-12-04
7831.0,2017-12-05
7709.0,2017-12-06
7648.0,2017-12-07
7587.0,2017-12-08
7587.0,2017-12-11
7717.0,2017-12-12
7656.0,2017-12-13
7595.0,2017-12-14
7595.0,2017-12-15
7613.0,2017-12-18
7579.0,2017-12-19
7603.0,2017-12-20
7782.0,2017-12-21
7782.0,2017-12-22
7818.0,2017-12-26
7818.0,2017-12-27
7818.0,2017-12-28
7943.0,2018-01-02
