<BALANCE>,Data
4959.0,2016-09-27
5037.0,2016-09-28
5180.0,2016-09-29
5136.0,2016-09-30
5181.0,2016-10-03
4989.0,2016-10-04
5030.0,2016-10-05
5055.0,2016-10-06
5144.0,2016-10-07
5040.0,2016-10-10
5042.0,2016-10-11
5218.0,2016-10-13
4960.0,2016-10-14
4937.0,2016-10-17
5122.0,2016-10-18
5042.0,2016-10-19
5042.0,2016-10-20
5147.0,2016-10-21
5190.0,2016-10-24
5299.0,2016-10-25
5135.0,2016-10-26
5155.0,2016-10-27
5143.0,2016-10-28
5297.0,2016-10-31
5297.0,2016-11-01
5446.0,2016-11-03
5663.0,2016-11-04
5683.0,2016-11-07
5626.0,2016-11-08
5666.0,2016-11-09
5785.0,2016-11-10
5623.0,2016-11-11
6000.0,2016-11-14
6279.0,2016-11-16
6067.0,2016-11-17
6064.0,2016-11-18
6006.0,2016-11-21
5946.0,2016-11-22
5756.0,2016-11-23
5752.0,2016-11-24
5670.0,2016-11-25
5803.0,2016-11-28
5585.0,2016-11-29
5565.0,2016-11-30
5555.0,2016-12-01
5575.0,2016-12-02
5461.0,2016-12-05
5379.0,2016-12-06
5289.0,2016-12-07
5259.0,2016-12-08
5037.0,2016-12-09
4929.0,2016-12-12
4868.0,2016-12-13
4798.0,2016-12-14
4948.0,2016-12-15
4870.0,2016-12-16
5069.0,2016-12-19
5179.0,2016-12-20
5204.0,2016-12-21
5295.0,2016-12-22
5295.0,2016-12-23
5420.0,2016-12-26
5408.0,2016-12-27
5360.0,2016-12-28
5415.0,2016-12-29
5494.0,2017-01-02
5733.0,2017-01-03
5346.0,2017-01-04
5290.0,2017-01-05
5176.0,2017-01-06
5242.0,2017-01-09
5165.0,2017-01-10
5301.0,2017-01-11
5366.0,2017-01-12
5451.0,2017-01-13
5456.0,2017-01-16
5569.0,2017-01-17
5617.0,2017-01-18
5531.0,2017-01-19
5489.0,2017-01-20
5433.0,2017-01-23
5223.0,2017-01-24
5188.0,2017-01-26
5086.0,2017-01-27
5118.0,2017-01-30
4850.0,2017-01-31
5007.0,2017-02-01
5080.0,2017-02-02
5198.0,2017-02-03
